iter	Passed	Remaining
414	2965	4179
415	2973	4173
416	2980	4167
417	2988	4160
418	2995	4153
419	3002	4145
420	3009	4139
421	3016	4131
422	3023	4124
423	3031	4118
424	3038	4111
425	3045	4103
426	3052	4096
427	3058	4087
428	3065	4080
429	3072	4072
430	3079	4065
431	3085	4057
432	3092	4049
433	3098	4040
434	3105	4033
435	3112	4025
436	3119	4019
437	3126	4011
438	3134	4005
439	3141	3998
440	3148	3991
441	3155	3983
442	3164	3979
443	3173	3973
444	3180	3966
445	3188	3961
446	3197	3955
447	3204	3948
448	3211	3941
449	3219	3934
450	3225	3926
451	3233	3920
452	3242	3914
453	3248	3907
454	3256	3900
455	3263	3892
456	3269	3884
457	3275	3876
458	3282	3869
459	3288	3860
460	3295	3853
461	3301	3845
462	3308	3837
463	3315	3829
464	3322	3822
465	3328	3814
466	3335	3806
467	3341	3798
468	3348	3791
469	3354	3782
470	3363	3777
471	3370	3769
472	3377	3763
473	3383	3754
474	3390	3747
475	3397	3739
476	3404	3732
477	3410	3724
478	3417	3717
479	3423	3709
480	3430	3701
481	3436	3693
482	3444	3686
483	3451	3679
484	3458	3672
485	3465	3665
486	3472	3657
487	3478	3649
488	3485	3641
489	3492	3634
490	3499	3627
491	3505	3619
492	3512	3612
493	3519	3604
494	3525	3597
495	3533	3590
496	3540	3582
497	3547	3576
498	3554	3569
499	3561	3561
500	3568	3553
501	3575	3546
502	3581	3539
503	3588	3531
504	3595	3524
505	3602	3516
506	3608	3509
507	3614	3500
508	3621	3493
509	3627	3485
510	3634	3478
511	3642	3471
512	3649	3464
513	3655	3456
514	3662	3449
515	3669	3441
516	3676	3434
517	3683	3427
518	3690	3420
519	3697	3412
520	3704	3405
521	3710	3398
522	3718	3391
523	3724	3383
524	3731	3376
525	3737	3368
526	3744	3360
527	3750	3353
528	3758	3346
529	3765	3339
530	3772	3332
531	3779	3324
532	3787	3318
533	3795	3312
534	3803	3305
535	3811	3299
536	3819	3293
537	3828	3287
538	3837	3281
539	3844	3275
540	3853	3269
541	3861	3262
542	3869	3256
543	3876	3249
544	3885	3243
545	3892	3236
546	3902	3232
547	3910	3225
548	3918	3218
549	3926	3212
550	3934	3206
551	3942	3199
552	3950	3193
553	3957	3185
554	3965	3179
555	3973	3172
556	3981	3166
557	3988	3159
558	3995	3151
559	4002	3144
560	4010	3138
561	4016	3130
562	4023	3123
563	4031	3116
564	4038	3109
565	4045	3101
566	4053	3095
567	4061	3089
568	4069	3082
569	4077	3076
570	4086	3070
571	4094	3063
572	4102	3057
573	4110	3050
574	4119	3044
575	4127	3037
576	4136	3032
577	4144	3025
578	4156	3022
579	4166	3017
580	4176	3012
581	4185	3006
582	4194	2999
583	4201	2992
584	4208	2985
585	4215	2978
586	4222	2971
587	4229	2963
588	4236	2955
589	4242	2948
590	4249	2940
591	4255	2933
592	4262	2925
593	4268	2917
594	4275	2910
595	4281	2902
596	4288	2894
597	4294	2887
598	4301	2879
599	4307	2871
600	4313	2864
601	4320	2856
602	4327	2849
603	4334	2841
604	4340	2834
605	4347	2826
606	4353	2818
607	4360	2811
608	4368	2804
609	4375	2797
610	4383	2790
611	4389	2783
612	4396	2775
613	4403	2768
614	4409	2760
615	4416	2753
616	4423	2745
617	4430	2738
618	4437	2731
619	4444	2723
620	4450	2716
621	4456	2708
622	4463	2700
623	4469	2693
624	4475	2685
625	4482	2677
626	4489	2670
627	4495	2662
628	4502	2655
629	4508	2647
630	4515	2640
631	4522	2633
632	4528	2625
633	4535	2618
634	4543	2611
635	4550	2604
636	4558	2597
637	4565	2590
638	4573	2583
639	4581	2576
640	4588	2569
641	4595	2562
642	4602	2555
643	4610	2548
644	4618	2542
645	4626	2535
646	4634	2528
647	4641	2521
648	4648	2514
649	4654	2506
650	4661	2499
651	4667	2491
652	4675	2484
653	4681	2476
654	4688	2469
655	4695	2462
656	4702	2454
657	4708	2447
658	4715	2439
659	4722	2432
660	4728	2424
661	4735	2417
662	4741	2410
663	4748	2402
664	4755	2395
665	4761	2387
666	4768	2380
667	4775	2373
668	4782	2366
669	4789	2358
670	4796	2351
671	4802	2343
672	4808	2336
673	4815	2329
674	4822	2321
675	4829	2314
676	4835	2307
677	4843	2300
678	4850	2293
679	4856	2285
680	4863	2278
681	4870	2271
682	4877	2263
683	4884	2256
684	4890	2249
685	4898	2242
686	4906	2235
687	4912	2227
688	4920	2221
689	4927	2213
690	4933	2206
691	4941	2199
692	4948	2192
693	4955	2184
694	4962	2177
695	4969	2170
696	4977	2163
697	4985	2157
698	4992	2150
699	5000	2143
700	5008	2136
701	5017	2129
702	5025	2123
703	5033	2116
704	5041	2109
705	5048	2102
706	5056	2095
707	5064	2088
708	5072	2081
709	5080	2074
710	5087	2067
711	5095	2061
712	5103	2054
713	5111	2047
714	5119	2040
715	5126	2033
716	5133	2026
717	5141	2019
718	5149	2012
719	5156	2005
720	5162	1997
721	5169	1990
722	5176	1983
723	5182	1975
724	5189	1968
725	5195	1960
726	5202	1953
727	5209	1946
728	5216	1939
729	5222	1931
730	5229	1924
731	5235	1916
732	5242	1909
733	5250	1902
734	5256	1895
735	5263	1887
736	5270	1880
737	5276	1873
738	5284	1866
739	5290	1858
740	5297	1851
741	5305	1844
742	5312	1837
743	5319	1830
744	5326	1823
745	5334	1816
746	5342	1809
747	5350	1802
748	5358	1795
749	5364	1788
750	5372	1781
751	5378	1773
752	5385	1766
753	5391	1759
754	5398	1751
755	5405	1744
756	5411	1737
757	5418	1729
758	5424	1722
759	5431	1715
760	5438	1708
761	5445	1700
762	5452	1693
763	5459	1686
764	5466	1679
765	5473	1672
766	5480	1664
767	5487	1657
768	5494	1650
769	5501	1643
770	5509	1636
771	5516	1629
772	5523	1621
773	5530	1614
774	5536	1607
775	5544	1600
776	5551	1593
777	5558	1586
778	5565	1578
779	5571	1571
780	5578	1564
781	5585	1557
782	5592	1549
783	5599	1542
784	5605	1535
785	5612	1528
786	5619	1520
787	5627	1513
788	5634	1506
789	5640	1499
790	5647	1492
791	5655	1485
792	5662	1478
793	5670	1471
794	5678	1464
795	5685	1457
796	5692	1450
797	5700	1442
798	5707	1435
799	5713	1428
800	5720	1421
801	5727	1414
802	5734	1406
803	5741	1399
804	5747	1392
805	5754	1385
806	5761	1377
807	5767	1370
808	5774	1363
809	5780	1356
810	5787	1348
811	5795	1341
812	5801	1334
813	5809	1327
814	5816	1320
815	5825	1313
816	5833	1306
817	5841	1299
818	5850	1292
819	5859	1286
820	5866	1279
821	5875	1272
822	5883	1265
823	5891	1258
824	5898	1251
825	5906	1244
826	5914	1237
827	5921	1230
828	5929	1223
829	5937	1216
